run_date,table_name,physical_table,created_at_column,row_count,non_null_created_at_count,latest_sync_date,error
2026-05-09,customeraddresses,gromo_warehouse.customeraddresses,createdat,431113,431113,,
2026-05-09,customerprofessions,gromo_warehouse.customerprofessions,createdat,354549,354549,,
2026-05-09,customers,gromo_warehouse.customers,createdat,15507850,15507850,2026-05-07T21:09:26,
2026-05-09,productlogs,gromo_warehouse.productslogs,createdat,3464849,3464849,2026-05-07T22:22:50,
2026-05-09,userdeviceinfos,gromo_warehouse.userdeviceinfos,createdat,10175115,10175115,2026-05-07T22:46:30,
2026-05-09,user_personas,gromo_warehouse.user_personas,createdat,753674,753674,2026-05-07T20:31:39,
2026-05-09,zohotickets,gromo_warehouse.zohotickets,createdat,191120,191120,2026-05-07T18:56:40,
2026-05-09,miscellaneousappflyerlogdatas,gromo_warehouse.miscellaneousappflyerlogdatas,createdat,1037489,1037489,2026-05-07T19:47:44,
2026-05-09,miscellaneousbranchlogdatas,gromo_warehouse.miscellaneousbranchlogdatas,createdat,535927,535927,2026-05-07T14:51:31,
2026-05-09,usercompetitorappslists,gromo_warehouse.usercompetitorappslist,createdat,52650534,52650534,2026-05-07T20:05:38,
2026-05-09,customerprofiles,gromo_warehouse.customerprofiles,createdat,375857,375857,,
2026-05-09,userproductqualities,gromo_warehouse.userproductqualities,createdat,4263094,4263094,2026-05-07T19:55:23,
2026-05-09,brelogsv2,gromo_warehouse.brelogsv2,createdat,5524392,5524392,2026-05-08T18:30:00.987000,
2026-05-09,customer-management-system.customerprofiles,gromo_warehouse.customer_management_system_customerprofiles,createdat,375857,240057,,
2026-05-09,leadinfo,gromo_warehouse.lead_info,createdat,0,0,,
2026-05-09,leadpayoutinfo,gromo_warehouse.lead_payout_info,createdat,1767669,1767669,2026-05-08T12:20:56.616000,
2026-05-09,users,gromo_warehouse.gromo_fintech_users,createdat,6046541,6046538,2026-05-08T21:27:30.261000,
2026-05-09,agencyusers,gromo_warehouse.agencyusers,createdat,23687,19891,2026-05-08T12:52:51.533000,
2026-05-09,products,gromo_warehouse.products,createdat,378,332,2026-05-07T10:43:12.957000,
